# Layer-2 SF6 industrial point sources. Pull date 2026-06-03.
# US = EPA GHGRP (Envirofacts); EU = E-PRTR via EEA discodata [IED].[latest], SF6/AIR.
# GAP: China (~57% of global SF6) and most of Asia have no facility-level reporting.
facility_name,country,lat,lon,sf6_tonnes_yr,year,source_dataset,sector,notes
Alstom Grid LLC,US,40.124713,-79.930463,0.057,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,QQ,SS"
"Mitsubishi Electric Power Products, Inc.",US,40.66715,-80.11272,2.169,2023,EPA GHGRP (Envirofacts),industrial,"subparts=OO,QQ,SS"
ABB Inc.,US,40.17811,-79.57707,0.235,2023,EPA GHGRP (Envirofacts),industrial,subparts=SS
G & W Electric Company,US,41.67386,-88.074253,0.776,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,QQ,SS"
S&C Electric Company,US,42.00231,-87.67662,0.416,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,QQ,SS"
"Siemens Energy,inc",US,32.248078,-90.160578,0.012,2016,EPA GHGRP (Envirofacts),industrial,"subparts=C,SS"
General Cable,US,41.72295,-72.23935,0.142,2017,EPA GHGRP (Envirofacts),industrial,"subparts=C,SS"
ANDERSONS MARATHON ETHANOL LLC,US,40.081111,-84.591667,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II,PP"
TYSON FRESH MEATS INC,US,41.5514,-90.2256,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
TYSON FRESH MEATS,US,46.131256,-118.910823,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
TYSON POULTRY INC.-SEDALIA,US,38.75087,-93.326088,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
GREEN PLAINS CENTRAL CITY LLC,US,41.109722,-97.971389,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
"Green Plains Hereford, LLC",US,34.84998,-102.28679,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
Sonoco Products Co.,US,34.387,-80.0663,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,II,TT"
SKYWATER TECHNOLOGY FOUNDRY INC,US,44.84786,-93.23745,0.091,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
CARGILL MEAT SOLUTIONS CORPORATION,US,40.2469,-103.7756,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
"Primary Products Ingredients Americas, LLC",US,35.7433,-84.3208,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II,PP"
WESTERN PLAINS ENERGY LLC,US,39.12192,-100.735876,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
"Alto Pekin, LLC",US,40.555,-89.6628,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II,PP"
"South Bend Ethanol, LLC.",US,41.6552,-86.2962,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II,PP"
Foster Farms Farmerville Complex,US,32.833714,-92.427498,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
Spiritwood Station,US,46.925,-98.5,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,D,II"
LAMB WESTON INCORPORATED,US,42.765556,-112.913333,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
ConAgra Foods Lamb Weston Delhi,US,32.458611,-91.574443,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
LAMB WESTON RDO FROZEN,US,46.8841,-95.0601,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
Lamb Weston Inc.,US,46.309388,-119.297683,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
Lamb Weston Twin Falls,US,42.5524,-114.4827,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
Cargill Meat Solutions Corporation,US,41.4514,-97.095,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
GUARDIAN ENERGY LLC,US,44.111944,-93.678611,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
"RED TRAIL ENERGY, LLC",US,46.878642,-102.296038,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
Eastman Kodak - Kodak Park,US,43.1969,-77.6289,0.036,2015,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
OHIO PAPERBOARD CORP,US,39.84719,-82.60468,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
KAAPA ETHANOL LLC,US,40.483268,-99.075345,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
ICM Biofuels LLC,US,39.74025,-94.846817,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
TYSON FRESH MEATS,US,35.258611,-101.642222,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
TYSON FRESH MEATS INC,US,41.296667,-91.356944,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
REDFIELD ENERGY LLC,US,44.91167,-98.50145,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
MARYSVILLE ETHANOL LLC,US,42.88335,-82.491547,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
Tyson Fresh Meats,US,42.00089,-95.38216,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
TYSON FRESH MEATS INC-PERRY,US,41.84096,-94.12596,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
SMITHFIELD FARMLAND CORP-TAR HEEL,US,34.7465,-78.8061,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
TYSON FRESH MEATS INC MADISON NEBRASKA,US,41.8164,-97.4667,,,EPA GHGRP (Envirofacts),industrial,subparts=II
Tyson Fresh Meats,US,40.761111,-99.736944,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
ARCHER DANIELS MIDLAND,US,44.47056,-95.78417,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II,PP"
Valero Renewable Fuels LLC Charles City,US,43.096447,-92.744994,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
JR SIMPLOT COMPANY - FOOD GROUP,US,43.667577,-116.73112,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
BADGER STATE ETHANOL,US,42.5949,-89.66691,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II,PP"
"ABE South Dakota, LLC - Aberdeen",US,45.459444,-98.5325,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
Smithfield Packaged Meats Corp.,US,43.5634,-96.7188,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
AGP SOY/CORN PROCESSING,US,40.58971,-98.33974,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
"POET- Biorefining Fairmont, LLC",US,40.61125,-97.60154,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
Huron Energy,US,44.374508,-98.253288,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
KANSAS ETHANOL LLC,US,38.28959,-98.19522,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
SHOW ME ETHANOL,US,39.36266,-93.448939,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
GRANITE FALLS ENERGY LLC,US,44.796667,-95.483333,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
"DENCO II, LLC",US,45.5747,-95.9108,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
MCCAIN FOODS POTATO FACILITY,US,46.660278,-67.902222,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
MCCAIN FOODS USA INC,US,44.454601,-89.540802,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
MCCAIN FOODS USA INC,US,42.532497,-113.836752,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
MCCAIN FOODS USA INC,US,46.836659,-119.174622,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
JBS/Swift Pork Company,US,39.99379,-90.404577,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
BRIDGEPORT ETHANOL LLC,US,41.642464,-103.07579,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
ONE EARTH ENERGY LLC,US,40.468714,-88.395924,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
Valero Fort Dodge Plant,US,42.51111,-94.30055,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
BIG RIVER RESOURCES WEST BURLINGTON LLC,US,40.829108,-91.225936,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
"GOLDEN GRAIN ENERGY, LLC",US,43.1112,-93.231,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
ABSOLUTE ENERGY LLC,US,43.49951,-92.91709,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
Valero Hartley Plant,US,43.18294,-95.50569,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
TYSON FOODS-RIVER VALLEY,US,35.374056,-93.5695,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
PERDUE FARMS INCORPORATED - ACCOMACK,US,37.736111,-75.656111,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
PERDUE FARMS INC,US,36.140066,-77.224466,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
J R SIMPLOT CO,US,46.837778,-119.176389,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
J. R. Simplot Co.,US,47.131732,-119.18926,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
"MGPI Processing, Inc.",US,39.561,-95.1333,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
Darling Ingredients Inc.,US,36.39867,-88.99401,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
