kg,local_id,ns,country,year,name,lon,lat,activity
1.0,000000347.Facility,CH.CAED,CH,2020,Services industriels de Genève - Activité DiE,6.1041,46.20669999946369,1(c)
1.65,000000347.Facility,CH.CAED,CH,2019,Services industriels de Genève - Activité DiE,6.1041,46.20669999946369,1(c)
2.0,CZ17072209.FACILITY,CZ.MZP.J634,CZ,2019,Jaderná elektrárna Dukovany,16.1478864194444,49.08525889946878,
2.4,000000347.Facility,CH.CAED,CH,2018,Services industriels de Genève - Activité DiE,6.1041,46.20669999946369,1(c)
4.5,CZ01150875.FACILITY,CZ.MZP.H525,CZ,2018,Tyco Komenského,15.907425,50.56256388836237,
50.0,200000439.Facility,UK.SEPA,GB,2014,Semefab Ltd,-3.14143,56.18609999950396,4(b)(i)
50.0,290151001.FACILITY,IT.CAED,IT,2011,ENEL PRODUZIONE SPA - CENTRALE DI LA CASELLA,9.480333000000002,45.09088199946317,1(c)
50.0,481231006.FACILITY,IT.CAED,IT,2022,EniPower  stabilimento di Ravenna,12.236944,44.44861099946323,1(c)
50.0,Scotland-200.FACILITY,GB.EEA,GB,2009,"Kelvin Electronics Works, East Kilbride",-4.16728,55.74789999950087,4(b)(v)
50.4,200000201.Facility,UK.SEPA,GB,2017,"Texas Instruments (UK) Ltd, Greenock",-4.83438,55.94379999950224,4(b)(ii)
50.5,000531001.FACILITY,IT.CAED,IT,2017,TIRRENO POWER S.p.A.,11.768333,42.12111099946572,1(c)
50.8,P0052_04A.FACILITY,UK.CAED,GB,2014,Lafarge Tarmac Cement & Lime Ltd,-6.766099999999999,54.61779999949347,3(c)
51.0,061.02965.FACILITY,FR.EEA,FR,2014,CEA,5.720000000000001,45.17999999946318,1(c)
51.9,5175.FACILITY,FR.CAED,FR,2011,STMicroelectronics,5.88449,45.26709999946318,4(b)(i)
52.0,100922003.FACILITY,IT.CAED,IT,2008,GETTI SPECIALI SRL,7.6069,45.00779999946315,2(e)
52.0,200000033.Facility,UK.SEPA,GB,2009,Raytheon Chemical Plant,-3.17004,56.19830999950403,4(b)(v)
52.0,200000033.Facility,UK.SEPA,GB,2010,Raytheon Chemical Plant,-3.17004,56.19830999950403,4(b)(v)
52.0,200000033.Facility,UK.SEPA,GB,2011,Raytheon Chemical Plant,-3.17004,56.19830999950403,4(b)(v)
52.0,200000033.Facility,UK.SEPA,GB,2012,Raytheon Chemical Plant,-3.17004,56.19830999950403,4(b)(v)
52.0,200000033.Facility,UK.SEPA,GB,2013,Raytheon Chemical Plant,-3.17004,56.19830999950403,4(b)(v)
52.0,200000033.Facility,UK.SEPA,GB,2014,Raytheon Chemical Plant,-3.17004,56.19830999950403,4(b)(v)
52.0,200000033.Facility,UK.SEPA,GB,2015,Raytheon Chemical Plant,-3.17004,56.19830999950403,4(b)(v)
52.0,200000033.Facility,UK.SEPA,GB,2016,Raytheon Chemical Plant,-3.17004,56.19830999950403,4(b)(v)
